v1,v2,,,
spam,"Date: Tue, 28 Mar 2006 08:57:03 -0800 (PST)
From: tina abraham <tina_abraham2004@yahoo.com>
Subject: GLAD KNOWING YOU AS PAL.
To: emailaddress

                                                    
                         Hello ! 
      Hi,It is not my intention to praise myself
but, I just tried to explain my behaviours,
generally am an open minded, religious, mercyful,
loyal, and above all, respect mankind. Currently am
single and am looking for friendship or more. Am
interested in meeting someone with the same
qualities. Peace and love everywhere. Am waiting to
here from you.  I'm a friendly, down-to-earth,
non-conformist female,age 26, with a good sense of
humour, who is hoping to make a few new friends
around the globe. I`d love to hear from people with
some what similar interests,  I love to hear from
people down there in AFRICA, EUROPE as well as ASIA,
though all are welcome! Ideally, I am looking for
genuine long lasting friendship in which we can be
ourselves. I guess I'm looking for a friend who is
willing not only to share the everyday stuff that
goes on in their lives (both good and bad), but
their thoughts, feelings, and ideas too. I'd like to
think of myself as being very open-minded to varying
 opinions and beliefs and have been told by friends
that I'm a good listener. Please, NO prisoners,
chain or religious mail,  I do apologize for the
restrictions, but I've had some BAD experiences in
the past. In fact i will be travelling to Africa by
May  this year as a member of the organising
comittee of a combined conferences on SUICIDE
PREVENTION STRATEGIES and CHILD LABOR taking place
in the U.S on the 12th---16th May,2006 at the Global
Youths welfare convention Hall, 3074 West Lake
Avenue,Peoria City,Illinois State ,U.S.A. and later
in GUINEA-BISSAU(West Africa) on the 19th---23rd
May, 2006. 
Thanks Miss  Tina Abraham.
U.S.A",,,
spam,"Date: Wed, 12 Apr 2006 03:27:38 -0700 (PDT)
From: Monica Woodgate
<registry_in_ysaps2005@yahoo.com>
Subject: WELCOME ADRESS AND INTRODUCTION.
To: emailaddress

                                                    
                 Office of the secretary Global
Youths Welfare  
                           Madam Monica Woodgate,
                           2456 West Lake  
                           P.o.box 1034.
                           Peoria City, 62516
                           United States           
                         Telefax 01-309-422-9916    
                                                    
 
   
  Dear Participants,                                
     
Peace and love to you all the days of  your life.The
forth coming Youth's Conferences is never under
advertisement.It is not open for every body to
Participate,We can only accept participants under
recommendation,But since your recommendation comes
from one of our colleagues ,I will give you the
opportunity to participate in  the forth coming
Youth's Conferences.The forth coming Youth's
Conference.
 ""YOUTH SUICIDE AND PREVENTION STRATEGY ?is
scheduled to take place on 
  May 12th --16th ,2006 at Global Youths welfare
convention Hall, 3074 West Lake Avenue,Peoria
City,Illinois State , US.The second conference
on?CHILD LABOR?will take place at San Pedro Lopes
conference Auditorium in Bissau city, Guine-Bissau
between  19th--23rd May,2006.The theme of the forth
coming Youths Conferences is to teach the youths on
the need to avoid Suicide and also to condemn child
labor which is increasing every day among the all
over the world. The Forth coming Conferences are
being Organized by the Global Youths Welfare in
United States and being sponsor by our dependent
donors.The conference is dedicated to all our
beloved Brothers and Sisters who lost their precious
lives during the september 11th Terrorist attack in
New York,Washington and the recent attack in Kenya,
East Africa .Every body is  entitled to Participate
in the forth coming Youth's Conferences regardless
of your Religion or belief.Only four or five Youths
are expected to participate
 together as a group from each Country and none of
them will be less than eighteen years,they must
participate in both Conferences.The independent
Donors and the Sponsorers will take care of your
entire flight tickets,including your feeding and
accomodation throughout your stay in United States.
You are only responsible for your hotel reservation
in Guine-Bissau (Africa) where the second conference
is scheduled to take place.If  you are interested to
participate in the forth coming Youths
conferences,you should send your names, passport
numbers together with the Country of your origin 
and resident through the following  fax
number,+01-309-422-9916 or you can send the names
through our e-mail. We will open your participation
file as soon as we recieve your names along with the
passport numbers and other required information .You
will recieve the conference  Participation  forms
,we will also direct  you to our Africa Co-Ordinator
as soon as your names reach to us. Our
 African Co-Ordinator will only direct you to Hotels
in Africa where you will make your reservation.Your
African Hotel reservation confirmation  will only
prove to the US Bureau of Immigrant Affairs that you
must go to Africa after U.S.Conference.I will  give
you more directive as soon as your names reach to
us.Please note that we are not the US Authority
authorising your visas but we are working with dates
directives from the US Bureau of Immigrant Affairs,
the authority that is in charge of authorisation of
group visas.We can not add or reduce any given
requirements for the authorisation of participants
visas participating in this events.And as such all
requirements must be met by participants requiring
the US Visa assistance.Remember to forward your
names,passports number ,name of country or Origin
and resident as soon as possible in order to open a
file for your group. You will choose four other
persons from your organisation or find four other
persons from your country
 to apply with you as a groupfrom your country. When
you apply as a group from your country, your visas
will be easily authorised. But if only you
apply,then it is you willhave to face the Embassy
alone for personal visa. You will have to go to the
embassy on your personal efforts without no
assistance from the organisers and our US
Immigration Advocates. 
When you apply as a group  from your country the US
Bureau of Immigrant Affairs will now believe that
you have a motive to come to the US. The US Bureau
of immigrant Affairs  have asked all participants
requiring the US visas for this events, to make
their hotel reservation in Guine-Bissau . This will
convince the US Bureau of Immigrant Affairs that all
participants attending the US conference will go
down to Guine-Bissau after the conferenc in the
US.Without your accommodation in Guine-Bissau the US
Bureau of Immigrant Affairs will not authorise group
visas . You must try all possibilities to book your
hotel and get the confirmation to be faxed along
with your conference registration forms.To Begin
with, you have to forward the names and  passport
number of your five delegates by e-mail or by fax as
soon as possible. Registration dead line is on the
28th of April,2006.You should endeavour to contact
the management of the below selected hotels in
Guine-Bissau .Please note
 that we can not open group participation file with
names forwarded without the passport numbers.
  
NAMES OF HOTELS AND THEIR CONTACT ADDRESS
HOTEL DE VASCO
RUA BAIRO ADJUDA AVENIDA NACIONAL
PRACA,
BISSAU,
GUINEA-BISSAU
CONTACT E-MAIL : hotel_devasco2004@yahoo.com
   
  HOTEL SANDOMINGO
RUA JAO PEDRO
AVENIDA INDEPENDENCIA
PRACA
BISSAU,
GUINEA-BISSAU
CONTACT E-MAIL: hotelsandomingo@yahoo.com
   
  Point to note, when you make your reservation in
any of this hotel, you should ask for confirmation
by fax as you will need to fax the confirmation to
the organizers in the US for the processing's of
your documents and you may contact the secretary to
the organizing committee in Guinea-Bissau for
contact information on hotels in Guinea-Bissau
through the
below e-mail address: icocl11@yahoo.com 
Thanks and may God bless you
From, Madam   Monica   Wood gate",,,
spam,"Date: Wed, 23 Feb 2005 03:13:55 -0500From: agentgarywalker@netscape.netTo: emailaddressCc: emailaddressSubject: BE ADVISED (Firstname Lastname)MIME-Version: 1.0X-Mailer: Atlas Mailer 2.0X-AOL-IP: 192.116.153.130X-AOL-Language: englishContent-Type: text/plain; charset=iso-8859-1Content-Transfer-Encoding: 8bitContent-Length: 796Goodday, I am In receipt of your mail and, I must tell you that If you want your check to delivered to you, you will have to pay the courier charges. And, if you decide to use the online banking process, you will have to pay for activation, which will cost you $5200. I would advise you to use the courier option.That will be cheaper.Always keep me informed on any developments.Have a lovely dayGary__________________________________________________________________Switch to Netscape Internet Service.As low as $9.95 a month -- Sign up today at http://isp.netscape.com/register",,,
spam,"Dear  Applicant,
   It is with great enthusiasm that we send you compliments of the
Global Peace and love. On behalf of UNITES STATES IMMIGRANT WORKER'S RECRUITMENT 
 PROGRAM board of Directors, Board of NGOs, board of resettlements  agencies, Board of Employers association group and National Manufacturers Association (NMA) we welcome you to United States Immigrant Worker's Recruitment Program. Global Committee on Immigrant Workers Recruitment Programe serves as an umbrella for coordinating all Immigrant Workers Recruitment of Foreign Immigrant Wokers  from all the continent of the world.USIWRP provides member NGOs with a framework for consultation, coordination and employment recruitment of all foreign Immigrant workers.  USIWRP programs are never under advertisement; they are not opened to everybody to Participate, The USIWRP programmes are only under strict recommendation set aside for Immigrant workers from all other continent countries. We are only recruiting and resettling group of participants with recommendation from top personals from our organization or other recognized  organization around the world. But since your recommendation comes from one of our colleagues, we will give you the opportunity to benefit from this program, we will furnish you with all necessary information you need for these program.  successful applicants will gain employment opportunity and will be housed in the houses provided by the United States Immigrant Worker's Recruitment   programe(USIWRP) and United Nations organization (UNO), While each less privilege applicant from the third world countries will gain employment opportunity and a  houses. Portions of the Payment for the house will be deducted from the employee monthly salaries for a period of 2-3 years and at the end of the payment tenure, the employee will become the owner of the house. The USIWRP program provides excellent opportunities for pro-active youths, Organizations, the unemployed jobseekers and a family that intent to resettle and have the mind to work. United States Immigrant Worker's Recruitment Program has made available a number of sponsored opportunities alongside this United States Immigrant Worker's Recruitment Program. The recruitment and resettlement programmes are designed to give focus to youths, Groups and Association valuable contact within the sector.The Resettlement and employment - housing recruitment programmes are always under the auspices of WORLD FOOD PROGRAMME (WFP), FOOD AND AGRICULTURE ORGANIZATION (FAO), UNITED FARMERS ASSOCIATION (UFA), NATIONAL MANUFACTURERS ASSOCIATION  (NMA) and EMPLOYERS ASSOCIATION GROUP (EAG) who believes in assisting the less privileged ones of the third world countries. Companies and Agricultural investors in the western world needs more work force and this can only be achieved by recruiting workers from the third world countries.The USIWRP provides equal employment opportunity to all employees and applicants for employment in full compliance with all applicable laws, directives and regulations of federal, state and local governing bodies or agencies. No person shall be discriminated against in employment decisions because of race, religion, colour, nationality, age, sexual orientation,or mental/physical disability.
The USIWRP will make a reasonable accommodation for all successful applicants who went through the normal procedures. The existing employment opportunities will need the services of 5-15 persons. And a family of five consisting of spouse and three children. Your educational qualifications will determine the nature of jobs and positions.

STEP ONE
   Recommended applicants should form a group of 5- 15 and forward their datas to their USIWRP continental office to obtain an
application reference file number for the program.

AFRICA-ASIA APPLICANTS
To obtain an application reference file number all interested Applicants from African and Asian countries should contact USIWRP 
for their Application file through Our African-Asian main office in Conakry at, Contact Address: B.p 211 Rue 14 Amville,  Guinea-Conakry,West Africa Contact: e-mail:  usiwrpasiaafrica@yahoo.com 
  

Telephone.00224-11-58-99-37
Tele Fax   00224-48-57-67

EUROPEAN  COUNTRIES
To obtain an application reference file number, all interested Applicants from Australia/European countries should contact USIWRP through Our
   international office; Lancashire LA6 1AG, England, Contact person. You can contact the Zonal co-ordinator by e-mail through this address: austriliaeurope@yahoo.com
 
   

 
STEP TWO
The applicants should forward the following by e-mail or by fax to their continental office. These includes the following:
1) Names of applicants in the group/family
2) Passport numbers for each applicants if available
3) Name of country of origin and resident country
4) Group/family contact telephone number
The members without traveling passport should forward the following requirements for the processing of UN Emergency travelling
certificates.The processing fee is $85 USD for each applicant without passport.
1) Applicants Scanned passport size photograph by e-mail attachment.
2) Names, dates of birth and name of resident country
3) Height measure and colour of eyes
Note: information for those with traveling passports and those without passports should be sent together and at the same time.On receipt of the above requirements at your zonal office, your group Application file will be opened in your zonal office. Your group/family Application reference file number will be forwarded to you.

STEP THREE
   You will have to re-forward your group dataâ€™s along with the issued application reference file number by fax through this number 1-316-221-9945 to our head office for approval. Once your group/family application is approved by the head office, instruction will be passed from the head office to your zonal office to forward to your group/family the application forms along with payment confirmation as soon as your payment is made. Cost of
application form and the processing fee for each member is $115 USD.Applicants without traveling passports will pay an extra of $85 USD.In all, applicants without passport will make payment of $200 USD.The total amount should be sent to zonal offices. The processing fee for each group/family should be made in-group. When you send your application processing fees to your zonal office, you should ask them to send the official confirmation by fax to you and a copy to our international office.   We shall give you more directives on where to obtain your visas and your flight tickets in your country or
nearby country as soon as your Group application is approved.

 FOR IMMEDIATE APPROVAL
Five persons are the least number we need from any group/family.Your group/family application will automatically be approved for this program if you can forward group/family information that consists of  5-15 persons. Interested Applicants without passports can also apply along with those with passports, as provisions for the UN Emergency travelling certificates have been made available for applicants without passports.  
For more information,you can visit the USIWRP web at:  http://usiwrp.iwarp.com 
You should follow all the
instructions there in.  
Thanks
Secretary/programme overseer
Madam Jessica Harrison",,,
spam,"DEAR  FIRSTNAME LASTNAME,
 
How are you today?And thank you for your response.
 
Please,i will want you to know that we are not a scammer.

We are team( THREE IN NUMBER) of  American troops writing from Baghdad, Iraq. We are urgently seeking for your willingness to secure the below consignments with attached photos and the two boxes of the money.

The goods were captured here in Baghdad today abandoned in one of Saddam Husseinâ€™s hiden treasury. The goods consist of Gold Bars, gold coins and Huge amount of money in sealed boxes. 

At this moment, we are intending to ship these goods outside Iraq for safekeeping but due to law and restriction order we are unable to transport the goods to America.That is the reason we are soliciting for your interest to assist us in receiving the goods on our behalf out side America Out of the US$18.9 million in cash We are only ready to relinguish 25% of the total money to you if you can assist us secure this money in outside America or any safe place.For the gold you will not be part of it. 

As soon as we receive your positive reply we will tell you the shipment proceedures which should arrive you within 4 days. Perfect arrangement have been made to ship these goods to you through Diplomatic means. 

Note:We are writing from a satellite powered laptop computer without any telephone access.The only telepone access we have is radio message which is for our general use and is being monitored therefore all communication will be via email till we finish our assignment here and fly straight to your country to meet you.


Yours truly. 
Sgt.P.Martin

Team Leader. 











--------------------------------------------------------------------------------
Find out what India is talking about on - Yahoo! Answers India 
Send FREE SMS to your friend's mobile from Yahoo! Messenger Version 8. Get it NOW",,,
spam,"Dear  Sir,
Thanks for your prompt response to my mail.This is a 
very urgent and trustworthy business transaction.
Like I said in my first letter, I am representing Mr.
Mikhail Khodorkovsky (m.k.) and would like to ask for your
partnership in re-profiling funds over US$450 million I
sent our current conversational status to Moscow and have
received the authority to proceed with you, and get some
clarifications both ways.
 Before I am able to give out the information that will
enable you access confidential data-pages of mikhail, I
would need some information as follows:
(1) What is your net worth?
(2) If you have problems, do they affect your activites you
undertake with us as an individual rather than a
corporate entity?
  
(3) Have you handled large funds, and was successfully?
All the answers will be kept very confidential. I must
explain why we are asking these questions: If you do have
existing profile problems, we may end up inheriting your
backlog thus creating a problem where none exist. We intend
to liquidate a large investment, and take the capital appr.
derivative to provide a new investment fund, under your
management, for future investments, thus negating any
requirements for taxation or declaration of process for
income generation. However, if you do have 
issues prior to this, it puts anything you do in the light,
and thus puts us in uncomfortable situation. As you see,
our assets are frozen in switzerland, and while we have
excess of USD5b lying there, we are unable to liquidate
them, or use them as guarantee for payment of the USD3.5b
lying there, we are unable to liquidate
them, or use them as guarantee for payment of the USD3.5b
backtaxes inflicted on us by the government. If the
situation does not improve, we shall be bankrupt before the
end of forth quarter this year. The funds being liquidated
arise from independent investments of the
group, outside the russian soil, so we can legitimately do
so, only if this is done quietly. If the authorites hear
about this, we shall have to tender it for hearing in
international judicial systems, and that will kill us.
Hence answer the questions in honesty, and let us know we
are confortable with you. We are trying to ensure that you
do not put us in any trouble, and likewise, we shall
provide you with an input as an entity with 
no history to the investment, only as a management
consultant. 
Everybody must be safe now and in the future, hence the
questions.
I represent Mr. Mikhail khordokovsky, the former C.E.O of
Yukos in Russia. I am sure you know of his predicaments
presently. this is why we need your help I received your
positive position hence this email to you based on his
advice. I am sure you are up to date with m.k and Mr. 
putin.Mr. p is intent in destroying m.k and his business
empire,We are working to get a break from the courts and we
will need all the cash call we can muster to hold our head
above waters in the coming days. The Gibraltar portfolio is
one of our arms yet to be infected by the Moscow led fed
tax offensive designed to bring us down and we need you to
help us keep it so. We need funds from this portfolio and
we can not get the funds on our own without arousing
moscow. To avoid this we need to completely reprofile the
funds from Gibraltar portfolio in your name so as to turn
away Moscow and their ally from us. The complete amount
available for you for reprofiling ispresently over $500m
and the 40% still stands. 
The new beneficiaries of the portfolio will need to offset
the back taxes to the authorites in Gibraltar and move the
funds online over the internet through a dedicated
confidential bank access that I will obtain from m.k in
Moscow through existing channel of communications. Once I 
get your name or company name, address, for identity
toreplace that of m.k and reprofile the portfolio
accordingly, then I will get the bank access across to you
to access the portfolio, pay the back taxes to the 
authorites and move the funds to another account we will
provide you in monte carlo and you keep the 40% as agreed.
please write back promptly.I will also suggest you visit
these news sites on the internet to be better informed
about this projet.
 http://newsfromrussia.com/main/2003/11/13/51215.html
http://www.supportmbk.com/mbk/mbk_bio.cfm
http://www.disinfopedia.org/wiki.phtml?title=Mikhail_B._Khodorkovsky
http://www.pbs.org/frontlineworld/stories/moscow/khodorkovskyinterview.html
http://www.fores.com/finance/lists/75/2004/LIR.jhtml?passListId=75&
passYear=2004&passListType=Person&uniqueId=M1IF&datatype=Person
http://mikhail_khodorkovsky_society.blogspot.com/
Yours truly
Ms Lioudmila.
 
NB: Find attached is my company id.
Kindly send yours to me for me to know whom precisely i am dealing with.",,,
spam,"Dear ** Management Resource is a consulting firm that offers Enterpreneural services. Based on your application to us, you have been shortlisted for an interview with the Head of Human Resource (HR). Time: 10:00am Date: Wed 23/05/2018 Address: Plot 5, voda paint plc, university press house, funmec bus stop off Adeniyi Jones, ogba road. Lagos. Regards, Mrs Lola Blessing Head of admin Global Management Resource Ikeja Branch Ikeja Lagos.",,,
spam,"Dear ,
Well we are here to help all those who has suffered a lot as to receive thier truck boxes. We Work together with united nation, and any delivery we made, we give back report to UN.

We have attached with you the form to fill immediately together with the form fees (2,000,000) million cedis our local currency which equivalent to US$ 220 Dollars fix. Please you can send the money to A.U.C secretary (Mrs. Elizabeth Okoye) and send the western union information to the mail before we can proceed, make SURE you fill the form

And we deliver to your door step with UN JET which have assigned by his Mr. Ki Moon Secretary General, immediately we receive the form fees, we shall precede your file as soon as possible. Please with out wasting any time, any were you have consignment or western union, or banks, please send the name and the details of the person to us, three days ago we arrested about 4 scammers in the Bank of Ghana.

Please if you want us to help you, you need to work according to our instruction because there is a lot of complain coming to AFRICA from the rest of the world which always tarnish the image of Africa as whole. And please henceforth, never you send any money to any person who ask you money, send his or her name and telephone number to us immediately for confirmation of the transaction before you can proceed if the transaction is good one..

Thanks,
Maj. Gen. Kwame Michael.",,,
spam,"Dear [applicant name],Thank you for your recent application to our company.I am pleased to inform you that you have been shortlisted and you are invited to attend an interview for a Graduate Trainee role Tuesday 10th of April, 2018.Venue: Suite 1 - Eleganza Plaza 33, Mobolaji Johnson Avenue, Oregon",,,
spam,"Dear [Name],
 Your application recieved from our online portal meets requirements.
 We are impressed by your background and we are pleased to inform you that you are fit to be a part of our workforce based on the work experience and the qualities you possess.
 We would like to invite you for a face to face work assessment at our office. During which you will have the chance to learn more about the Organization, and to develop a deeper understanding of our companyâ€™s objectives. On our end, we want to understand your career goals and professional experience more so.
 Our office is located at No 6, Deji Odunuga Street opposite Kehinde Odusote Estate, Anthony Village. Gbagada Lagos.
 The work assessment has been scheduled to hold by: WEDNESDAY 25th July 2018. By 8:30AM Kindly come along with an updated CV.
 If you have any questions before the work assessment, do contact08028332937
 Looking forward to seeing you.
 Best wishes.
 Your sitcode : 10617055
 Coach Audrey
 HR Dept
 WESTCORPServices Ltd",,,
spam,"Dear account holder,CBN has block your ACCT/ATM due to incomplete BVN registration contact our customer care on 08165569908.",,,
spam,"Dear Applicant  With regards to your resume sent to us. we are pleased to recommend you for a Job opening,  You have been cordially invited to partake in the ongoing recruitment session. Date: Friday 22th, June 2018. Time: 9:30am Office Address: Plot 5, Voda paint plc, university press house off Adeniyi Jone Ogba road Acme bustop Lagos. Note : You are required to come along with an updated copy of your CV. Regards.recruit Providence Office-line: 08156793362",,,
spam,"Dear Applicant Thank you for applying to our job portal via SMARTRECRUITER, We are impressed by background and would like to invite you to the job You need to make contact with our hiring manager through Google Hangout You are required to set up a mail account www.gmail.com) and download google hangout (www.google.com/hangouts). The hiring manager will let you know more about the post on answer your questions and are you more about the company and position we have available for you to occupy. Your verification code is (ARN-2018), this would serve as your identification number throughtout the online hiring process. To contact our hiring Manager. Name: Mrs Vivian Butland Google Hangout. mrsvivianbutland@gmail.com Positions Available: Call Center Representative, Receptionist Data Entry Administrative Assistant Time: As soon as possible. Best of luck AHRENS GROUP PTY LTD",,,
spam,"DEAR APPLICANT We Are Pleased to inform you that you have been shortlisted for an Interview/chat session at B.S INCORPORATION LTDDate:THUR 29/3/18 & FRI 30/3/18 by 9amVenue: 4 karim Ogungbeye Estate off Amaraolu way,beside Zenith Bank,1st Gate,Agidingbi, Ikeja Lagos. Come with your updated CV. for Enquiries 080-3941-1675 /H. R - Alexis.Kindly Call to Confirm Your Availability.",,,
spam,"Dear applicant You are hereby invited for an interview with INVSHARE NIG LTD on the 28th of May 9:00am prompt. At 3, Abraham imuse street, 2nd junction bustop, governors road, Ikotun Lagos. Kindly come with 3 copies your CV and original certificates. +2347037374370",,,
spam,"Dear Applicant Your application to Careerswise Recruitment Agency as been received. We are pleased to inform you that you have been selected to attend an interview session with the Head of Human Resource (HRM) at Management Resource a Consulting Firm and also offer Entrepreneurial services. Time: 10:00 am Date: Monday 28th MAY,2018 Address:5 SURULERE HOUSE, surulere industrial road, Off Adeniyi jones. Ikeja Lagos. Come with a hard copy of your CV Kindly reply this mail if you will be available and for further details. Regards, Mary Davies Relationship Officer 09037567921 Ikeja Branch Lagos",,,
spam,"Dear applicant
Congratulations.You have been shortlisted for an oral interview in one of our consulting firm as a customer service officer.Successful candidates are always better than unsuccessful ones.
To aid entry into the venue,printout this email
Your specific entry details are as below
Venue:End of Adeniyi jones,last floor University Press Building,Acme Ikeja.
10:00AM
9/11/2018
Note:Dress corporately and be sure to come early as lateness will not be welcomed,come with your Updated Cv,a passport photograph
Regards
Career Tips",,,
spam,"Dear Applicant
In line with your application for the position of a ""ACCOUNT OFFICER you have been invited for an oral interview section with the human resource unit at one of our selected centers in Lagos.
Date: Thursday, 18th October, 2018
Time: 9:am
Address: 5, Resource Press Building, Oando Filling Station B/Stop Opposite SBN End of Adeniyi Jones, Ogba Lagos.
Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you recourse to us if you did not apply for such position so we can manage our records properly.
Best Regards,
RECRUITMENT TEAM

",,,
spam,"Dear applicant, 
I am pleased to inform you that you have been shortlisted for a job interview with TOPVIEW NIG PST70. Our hiring committee has reviewed your resume and would like to meet with you in person. 
Thur,7 Sept, 9am. 31 New Market Road(3rd floor) opp Nairabet,Bata junction,Onitsha.
Be Punctual.",,,
spam,"Dear Applicant, After thorough preview of your details and your Curriculum vitae based on recommendations,considering the working experience, skills and attributes you encompassed, the Board of Directors of pearl forth Nigeria limited Lagos Nig., invites you for an assessment. Date: Friday 20th, July 2018 Time: 9am prompt Venue: Suite 116, Akowonjo rd, Jimoh bstop, EgbedaLagos. We apologize for the short notice, however it is important you confirm your availability to enable us make adequate preparations. Please kindly confirm your availability by replying this email as soon as possible. Kindly respond to the mail. You can also reach the Secretary on 08126976230 if you have any issues/requests.",,,
spam,"Dear Applicant, Based on referral, you're invited for interview at 161 Ikorodu Road, Onipanu, Lagos on Tuesday 3rd May, 2016. Time: 9:00am. HR:090-5609-6081",,,
spam,"Dear Applicant, Bliss initiatives is a consulting firm and offers various Entrepreneurial services and based on your application for the post of ""Graduate trainee"" you have been shortlisted for an oral interview on TUES 08/05/18 at last floor university press building, plot 5 funmec b/s Acme, Ikeja Lagos by 10am. Pls do ensure to dress corporately. NB: come along with your Cv & a copy of the printout of this mail to ensure confidentiality Best regards, Blisscareers",,,
spam,"Dear Applicant, In lieu of your application via Lekki Agency, you are invited for an interview on Date: Wednesday,23rd May 2018 Time: 1 pm Venue: Limeridge Hotel, Chevron Drive, Lekki. Kindly come along with a passport photograph. For more details call :09062850604",,,
spam,"Dear Applicant, In line with your application for the position of ""CUSTOMER RELATION OFFICER "", you have been invited for an oral interview section with the human resource unit at one of our selected centers in Lagos. Date: Thursday, 25th October, 2018. Time: 9:45am Address: 5, Resource Press BUILDING, Oando filling station B/stop Opposite SBN End Of Adeniyi Jones Ogba Lagos. Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you recourse to us if you did not apply for such position so we can manage our records properly. Best Regards, RECRUITMENT TEAM, STARHILL CONSULTING GROUP 08030832748 Mrs.kahley",,,
spam,"Dear Applicant, Sequel to your application for an employment in our organization. You have been shortlisted for an interview. Address: RCCG OFFICE: Lagos province 28 building, lotto road, beside tree of life estate, redemption camp. Date: Tuesday, 27TH March, 2018. Time: 9:00 AM prompt. Please come along with your Credentials. Dress Corporately. Thank you.",,,
spam,"Dear Applicant, Sequel to your application for employment in our organization. You have been shortlisted for an interview. Address: 15, otunubi Street Haruna Bus Stop Off College Road Ogba, Lagos State. Date: xth March ,2018 Time: am Dress code: Dress Corporately. Thank you.",,,
spam,"Dear Applicant, Sequel to your application, The selection committee has carefully identified you for this great opportunity, please be informed that your application has been considered and you are hereby recommended for an aptitude test and oral job brief, followed by the job duties and specifications. With SCHLEEZ NIGERIA LIMITED First floor, No 49, OLOWU STREET, OFF MOBOLAJI BANK ANTHONY WAY, IKEJA, LAGOS On Wednesday 20th June 2018 BY 9:00AM. The interview will be with the Human Resources department. Upon arrival at reception ask the security for the center. The interview is scheduled to last approximately 1-3 hours tentatively and will take the form of A written aptitude test for about 20 minutes or less, One on one interview with the HR for about 5 minutes or less, Then the job duty and specification for about 25 minutes or less, The selection process with the Hr Head for about 1 hour 48minutes or less, Final interview with the Hr Head which will last for about 15 minutes for the selected candidates to be shortlisted for the job. Please note that you are to bring along with you, Any valid ID card, hard copy of your credentials, a copy of this invite and the sms you will receive from SCHLEEZ LTD The Human resources team and general management will be available to conduct the interview fully with you, we are not affected by the general holiday. We look forward to meeting you. Regards",,,
spam,"Dear Applicant, Sequel to your application, you are invited for a written interview. Find details below: Venue: Solution Platform Limited, 34, Diya Street, Opp. Mr Bigg;s, Ifako Gbagada, Lagos. Time: 12:00 Noon Prompt. Kindly confirm your availability through 08152215839 before 1:00Pm today. Please come with your writing Materials1",,,
spam,"Dear Applicant, Thank you for applying for the position of a Sales Executive with Re-ThinkHR Company in IKEJA, LAGOS. We would like to invite you to come to our office to interview for the position. Your interview has been scheduled for Wednesday June 6th, 2018, 12pm, at 2 Esomo Close, Toyin, Ikeja. Come along with a copy of your CV.",,,
spam,"Dear Applicant, This is to inform you that you have been shortlisted for the Position of Business Development / Marketing Personel. There will be an interview on 13/6/2018 (Wednesday) at our office (326 Bornowy Alagomeji Yaba :Lagos) by 11:30am prompt. Please call 07035807350 in case you need directions to our office. Kindly confirm the receipt of this email",,,
spam,"Dear Applicant, We received your application for the position of Admin/HR Assistant. You are hereby invited for interview and discussion, see details of invite below; Date: Friday, 22nd June, 2018 Time: 10.00 am Venue: Sylken Limited , Plot 817 Raji Rasaki Road, After Mama Kitchen, Adjacent to Better Height Montessori, Amuwo Odofin, Off Festac Link Road, Lagos. Please come with a passport photo, copies of your Cv and credentials. Ask to see the Sales Admin or HR once you get to the venue. Kindly acknowledge the receipt of this email and advice on availability.",,,
spam,"DEAR APPLICANT, YOU HAVE AN INTERVIEW WITH DPP-RESOURCE, AKIN OSIYEMI STR, OPP. STERLING BANK, ALLEN AVE. IKEJA. CHECK YOUR MAIL NOW!",,,
spam,"DEAR APPLICANT, YOU HAVE AN INTERVIEW WITH US AT LS-RESOURCE, MON. 2/7/18 BY 9AM, 3RD FLR, CROWNET PLAZA, IDRIS GIGADO STR, WUYE, ABUJA. CHECK YOUR MAIL NOW!
 ",,,
spam,"Dear Applicant, Your application has been Reviewed and you have been fixed for an Oral Interview with the Human Resource Team. JOB POSITION: BUSINESS DEVELOPMENT OFFICER DATE :Friday 1st March 2019 TIME : 10am VENUE:No5, Surulere House, Along Industrial Road, End off Adeniyi Jones. Ikeja Lagos state. Come with an updated copy of your CV. Warm regards, Mrs Bella 08169294074 HR UNIT",,,
spam,"Dear APPLICANT,
 After thorough preview of your details and your Curriculum vitae based on recommendations,considering the working experience, skills and attributes you encompassed, the Board of Directors of DPCS Int'l Resources, Lagos Nig., invites you for an assessment.
 Date:Wednesday 27,June 2018
 Time: 9am prompt
 Venue: 116,Akowonjo rd,Jimoh bustop ,Egbeda Lagos
 We apologize for the short notice, however it is important you confirm your availability to enable us make adequate preparations. Please kindly confirm your availability by replying this email as soon as possible.
 Kindly respond to the mail.HR Sophie//368
 You can also reach the Secretary on 07037431412
 if you have any issues/requests.
 The secretary will text you via the contact number above.
 ",,,
spam,"Dear Applicant,
 As a result of your application for the position of a ""Customer Service "".
 You have been invited to attend an interview with the head of human resource in one of our selected branches in Lagos.
 Date: Thursday 02/08/2018.
 Time: 10:00am.
 Address: House 5,Resource Building, Fumec Bus Stop Ogba Lagos.
 NB: Ensure you come along with the hard copy of your CV.
 Best Regards
 Miss Effiong
 08185312569
 ",,,
